rank	composition_mean_normalized_influence	shortcut_mean_normalized_influence
939	2241.249831	1850.701271
940	2240.891378	1850.06907
941	2240.818567	1849.104745
942	2238.593649	1848.619305
943	2234.960637	1848.021882
944	2234.041548	1845.732047
945	2233.035482	1844.657289
946	2230.826979	1844.082348
947	2230.653679	1843.028496
948	2229.539926	1842.80973
949	2226.441381	1842.674431
950	2225.934592	1842.042802
951	2224.436731	1841.821824
952	2224.313067	1841.041477
953	2223.803306	1840.910217
954	2223.567591	1840.025062
955	2223.429639	1838.973061
956	2223.295449	1837.572151
957	2223.169242	1836.948209
958	2222.921994	1834.161205
959	2222.679262	1833.862692
960	2221.38982	1833.840483
961	2219.575464	1833.0595
962	2219.074124	1832.497201
963	2217.89319	1832.401878
964	2217.572417	1829.82899
965	2216.457615	1829.360897
966	2216.084616	1828.518561
967	2215.353896	1828.264284
968	2214.633023	1827.710488
969	2214.358328	1824.668394
970	2212.995564	1824.456126
971	2212.918754	1824.312232
972	2212.573309	1824.243683
973	2211.542123	1824.242591
974	2210.710505	1824.063044
975	2209.83336	1823.253065
976	2208.461851	1822.822387
977	2208.414213	1822.188074
978	2208.275089	1821.13485
979	2207.487909	1821.056355
980	2206.82947	1819.979522
981	2205.524717	1819.547119
982	2203.685917	1818.268956
983	2203.348668	1818.130385
984	2202.703966	1816.565906
985	2202.116078	1816.082932
986	2201.352286	1815.163389
