rank	composition_mean_normalized_influence	shortcut_mean_normalized_influence
328	3229.7304	2632.059814
329	3226.582265	2622.858039
330	3219.836701	2622.669044
331	3219.766121	2620.735939
332	3204.905291	2617.283362
333	3203.679961	2614.9599
334	3198.915392	2610.78461
335	3193.73591	2609.384015
336	3191.207037	2607.447588
337	3187.350018	2605.326745
338	3179.601665	2603.294179
339	3179.533625	2596.484168
340	3176.140476	2596.117567
341	3173.941228	2591.176389
342	3173.102547	2587.806482
343	3170.491737	2584.892345
344	3167.137463	2580.320957
345	3166.192929	2578.47041
346	3160.812456	2576.07594
347	3160.508984	2574.649409
348	3156.661272	2568.637435
349	3155.541197	2567.46533
350	3151.954462	2567.101652
351	3151.699952	2561.239822
352	3151.412453	2560.052906
353	3150.870715	2559.112707
354	3150.387152	2558.22946
355	3150.299302	2556.425909
356	3145.441717	2556.367482
357	3144.056411	2549.837323
358	3143.002163	2549.150007
359	3142.982151	2537.780284
360	3133.304629	2534.137474
361	3131.920804	2533.920559
362	3130.699806	2531.876331
363	3128.707989	2531.045256
364	3123.232684	2528.931102
365	3117.981641	2524.238516
366	3116.825522	2522.242089
367	3115.272812	2521.120911
368	3113.976096	2521.026761
369	3113.581003	2517.807098
370	3111.416851	2512.097955
371	3108.468344	2508.058085
372	3108.076813	2507.565986
373	3104.561808	2506.704814
374	3104.2401	2505.679164
375	3103.462961	2503.689666
376	3102.402374	2499.309059
377	3097.158588	2498.120432
378	3096.080811	2496.637548
379	3094.479179	2492.51914
380	3091.358817	2488.427357
381	3091.078582	2486.303845
382	3090.245101	2485.721219
383	3088.829874	2484.713413
384	3086.021345	2484.120303
385	3083.46783	2483.47734
386	3081.996156	2480.019335
387	3077.356237	2477.910132
388	3074.867129	2477.903023
389	3071.353945	2475.17771
390	3068.638829	2474.903019
391	3065.440103	2472.73839
392	3060.808653	2472.518052
393	3059.4138	2472.495255
394	3055.847469	2470.408303
395	3055.128275	2469.45704
396	3048.687239	2467.665845
397	3048.075885	2463.913939
398	3045.419106	2462.445178
399	3044.713994	2461.345245
400	3044.36198	2460.122993
401	3036.917943	2460.071032
402	3032.690524	2458.463169
403	3023.547968	2457.108074
404	3023.211104	2448.790308
405	3017.058576	2448.016957
406	3012.810898	2447.714066
407	3012.01974	2447.629582
408	3011.081285	2446.342129
409	3006.245931	2443.344277
410	3005.651572	2441.352009
411	3005.013066	2441.324387
412	3004.796978	2439.233973
413	3002.558772	2438.321361
414	2983.044888	2437.917646
415	2981.907696	2437.886496
416	2981.110328	2435.095174
417	2979.717052	2434.272895
418	2978.205707	2434.27226
419	2977.381779	2434.018926
420	2976.609455	2430.612587
421	2971.667395	2429.724514
422	2970.920402	2428.785499
423	2970.839428	2424.950543
424	2967.935428	2423.339347
425	2967.864906	2417.2043
426	2966.16788	2416.00582
427	2963.753147	2412.615198
428	2963.067703	2412.224336
429	2962.119105	2409.984032
430	2961.038624	2409.341447
431	2960.235475	2407.990861
432	2959.208905	2405.571041
433	2954.343417	2404.682091
434	2953.675248	2404.259498
435	2952.937676	2403.383345
436	2952.699953	2402.407377
437	2947.84589	2401.107602
438	2947.007177	2398.215631
439	2942.967731	2396.772247
440	2942.626251	2393.801264
441	2937.45812	2393.800134
442	2937.236119	2392.277455
443	2936.473273	2391.49383
444	2936.137544	2389.00786
445	2932.862989	2385.974222
446	2930.266807	2381.336227
447	2927.206553	2379.606857
448	2926.20425	2378.761184
449	2925.186548	2375.631935
450	2923.358437	2373.680771
451	2922.220836	2366.889163
452	2921.906565	2361.945291
453	2917.238313	2361.566867
454	2915.955213	2360.844569
455	2912.883237	2360.119166
456	2911.371555	2359.74347
457	2909.20356	2358.185057
458	2908.832511	2357.968011
459	2907.51037	2357.38783
460	2907.069666	2357.345664
461	2905.666791	2355.59806
462	2905.574742	2355.501664
463	2904.395967	2355.125337
464	2903.674262	2353.324854
465	2900.771516	2352.262856
466	2897.694332	2348.176399
467	2895.259878	2345.338763
468	2893.589858	2344.606633
469	2886.153076	2344.022291
470	2883.094487	2343.85783
471	2878.245346	2340.751988
472	2866.826169	2337.263622
473	2866.65931	2336.4637
474	2865.861133	2335.000725
475	2864.43298	2331.855983
476	2863.832108	2331.788765
477	2863.745909	2331.65036
478	2861.85594	2329.609208
479	2861.198173	2328.515433
480	2860.132012	2328.129283
481	2855.92943	2326.731812
482	2855.896278	2326.335192
483	2854.297864	2325.782347
484	2853.641244	2323.529934
485	2851.600474	2322.629958
486	2850.320627	2318.698623
487	2843.500683	2317.243549
488	2842.251417	2316.404006
489	2838.871034	2316.217835
490	2838.590802	2314.465026
491	2831.490074	2309.443133
492	2829.917397	2309.025001
493	2827.80762	2308.167689
494	2823.353401	2306.250059
495	2822.709926	2305.244236
496	2821.638238	2304.981351
497	2819.528938	2304.866303
498	2818.733003	2302.194799
499	2810.468152	2300.455405
500	2807.819352	2293.57167
501	2806.182501	2291.292808
502	2806.025096	2290.875607
503	2805.779733	2290.245191
504	2804.323596	2289.295308
505	2803.861858	2288.076533
506	2800.898171	2287.913914
507	2798.84373	2286.245699
508	2794.395537	2286.102964
509	2790.310067	2285.670506
510	2788.245932	2285.263741
511	2781.876693	2285.227663
512	2781.062423	2285.105245
513	2779.628126	2283.914045
514	2771.76195	2283.353989
515	2769.911699	2281.15218
516	2769.496275	2273.815702
517	2769.0613	2272.25568
518	2767.131198	2272.147211
519	2766.308418	2269.903227
520	2764.290633	2269.708439
521	2762.629982	2269.683247
522	2759.495673	2268.311182
523	2756.969593	2267.520141
524	2756.371643	2266.250165
525	2755.494285	2265.606582
526	2755.349047	2263.289264
527	2753.507244	2262.835634
528	2749.822513	2261.603763
529	2749.181741	2258.283816
530	2749.104899	2258.145695
531	2748.650971	2257.334228
532	2748.134028	2257.149316
533	2748.045783	2256.386362
534	2747.967161	2256.337053
